,pdf_file_name,pub_date,publication_id,text_file_name,title,unique_identifier
1579,7193.pdf,2006-01-01,7193,7193.txt,Predicting case outcomes and women's perceptions of the legal system's response to domestic violence and sexual assault: Does interaction between community agencies matter?,10.1177/0887403405280944
1580,7194.pdf,2007-01-01,7194,7194.txt,Predicting women's perceptions of domestic violence and sexual assault agency helpfulness: What matters to program clients?,10.1177/1077801207307799
1581,7195.pdf,2007-01-01,7195,7195.txt,An empirical portrait of community reentry among serious juvenile offenders in two metropolitan cities,10.1177/0093854807307170
1582,7196.pdf,2013-01-01,7196,7196.txt,'A Good Man Always Knows His Limitations': Overconfidence in Criminal Offending,10.1177/0022427812459649
1583,7197.pdf,2013-01-01,7197,7197.txt,Does time matter? Comparing trajectory concordance and covariate association using time-based and age-based assessments,10.1177/0011128712459491
1584,7198.pdf,2013-01-01,7198,7198.txt,Continuity and change in gang membership and gang embeddedness,10.1177/0022427811434830
1585,7199.pdf,2011-01-01,7199,7199.txt,Racial profiling in decisions to search: A preliminary analysis using propensity-score matching,10.1350/ijps.2011.13.4.232
1586,7200.pdf,2011-01-01,7200,7200.txt,Measuring gaps in reentry service delivery through program director and participant reports,10.3818/JRP.13.1.2011.77
1587,7201.pdf,2013-01-01,7201,7201.txt,The impact of different types of intimate partner violence on the mental and physical health of women in different ethnic groups,10.1177/0886260512454743
1588,7202.pdf,2012-01-01,7202,7202.txt,Trends in intimate partner violence: 1980-2008,10.1177/0886260512441077
1589,7203.pdf,2013-01-01,7203,7203.txt,Social distance and immediate informal responses to violent victimization,10.1177/0886260512455870
1590,7204.pdf,2012-01-01,7204,7204.txt,"Police workforce structures: Cohorts, the Economy, and Organizational Performance",10.1177/1098611112456691
1591,7205.pdf,2012-01-01,7205,7205.txt,Structural covariates of gang homicide in large U.S. cities,10.1177/0022427811415535
1592,7206.pdf,2012-01-01,7206,7206.txt,Street gangs and aggregate homicides: An analysis of effects during the 1990s violent crime peak,10.1177/1088767912449623
1593,7207.pdf,2010-01-01,7207,7207.txt,The impact of emotional labor and value dissonance on burnout among police officers,10.1177/1098611110373997
1594,7208.pdf,2004-01-01,7208,7208.txt,Shedding light on police culture: An examination of officer's occupational attitudes,10.1177/1098611103257074
1595,7209.pdf,2008-01-01,7209,7209.txt,A comparison of occupational attitudes between Taiwanese and American police officers,10.1350/ijps.2008.10.1.36
1596,7210.pdf,2009-01-01,7210,7210.txt,Consequences of being bullied: Results from a longitudinal assessment of bullying victimization in a multisite sample of American students,10.1177/0044118X09351067
1597,7211.pdf,2005-01-01,7211,7211.txt,Youth gangs and troublesome youth groups,10.1177/1477370805048626
1598,7212.pdf,2013-01-01,7212,7212.txt,Guns and trafficking in crack-cocaine and other drug markets,10.1177/0011128711398023
1599,7213.pdf,2011-01-01,7213,7213.txt,"Risks of minor and serious violent victimization in prison: The impact of inmates' mental disorders, physical disabilities, and physical size",10.1177/2156869311416828
1600,7214.pdf,2011-01-01,7214,7214.txt,Family structure as a social context for family conflict: Unjust strain and serious delinquency,10.1177/0734016811402495
1601,7215.pdf,2013-01-01,7215,7215.txt,Physician-targeted financial incentives and primary care physicians' self-reported ability to provide high-quality primary care,10.1177/2150131912462036
1602,7216.pdf,2012-01-01,7216,7216.txt,Motor vehicle recovery: A multilevel event history analysis of NIBRS data,10.1177/0022427810397953
1603,7217.pdf,2013-01-01,7217,7217.txt,Explaining temporary and permanent motor vehicle theft rates in the United States: A crime-specific approach,10.1177/0022427812453143
1604,7218.pdf,2013-01-01,7218,7218.txt,"Lifestyle, routine activities, and felony-related eldercide",10.1177/1088767912438713
1605,7219.pdf,2012-01-01,7219,7219.txt,The proximity of common unhappiness and misery,10.1177/2156869312451153
1606,7220.pdf,2012-01-01,7220,7220.txt,Special education implications of point and cumulative prevalence for children with emotional or behavioral disorders,10.1177/1063426611401624
1607,7221.pdf,2007-01-01,7221,7221.txt,Chronic illness and health-seeking information on the Internet,10.1177/1363459307077547
1608,7222.pdf,2007-01-01,7222,7222.txt,"Personality, criminal behavior, and risk assessment: Implications for theory and practice",10.1177/0093854806289195
1609,7223.pdf,2012-01-01,7223,7223.txt,Nativity differences in mothers' health behaviors: A cross-national and longitudinal lens,10.1177/0002716212445438
1610,7224.pdf,2012-01-01,7224,7224.txt,Despair by association? The mental health of mothers with children by recently incarcerated fathers,10.1177/0003122411436234
1611,7225.pdf,2011-01-01,7225,7225.txt,Direct and mediated effects of nativity and other indicators of acculturation on Hispanic mothers' use of physical aggression,10.1177/1077559511421523
1612,7226.pdf,2012-01-01,7226,7226.txt,"How risky is marijuana possession? Considering the role of age, race, and gender",10.1177/0011128712461122
1613,7227.pdf,2013-01-01,7227,7227.txt,Sexual orientation and occupational attainment,10.1177/0730888412460532
1614,7228.pdf,2012-01-01,7228,7228.txt,"Political culture versus socioeconomic approaches to predicting police strength in U.S. police agencies: Results of a longitudinal study, 1993 to 2003",10.1177/0011128708318947
1615,7229.pdf,2012-01-01,7229,7229.txt,Network sampling with memory: A proposal for more efficient sampling from social networks,10.1177/0081175012461248
1616,7230.pdf,2005-01-01,7230,7230.txt,A comparison of the male customers of female street prostitutes with national samples of men,10.1177/0306624X04272975
1617,7231.pdf,2006-01-01,7231,7231.txt,An evaluation of the federal government's violent offender incarceration and truth-in-sentencing incentive grants,10.1177/0032885506291026
1618,7232.pdf,2011-01-01,7232,7232.txt,"Race, sport and social mobility: Horatio Alger in short pants?",10.1177/1012690211429212
1619,7233.pdf,2012-01-01,7233,7233.txt,Use of forensic science in investigating crimes of sexual violence: Contrasting its theoretical potential with empirical results,10.1177/1077801212440157
1620,7234.pdf,2012-01-01,7234,7234.txt,The influence of forensic evidence on the case outcomes of assault and robbery incidents,10.1177/0887403410395576
1621,7235.pdf,2011-01-01,7235,7235.txt,Solving residential burglaries in the United States: The impact of forensic evidence on case outcomes,10.1350/ijps.2011.13.1.224
1622,7236.pdf,2013-01-01,7236,7236.txt,General Strain Theory and substance use among American Indian adolescents,10.1177/2153368712460553
1623,7237.pdf,2014-01-01,7237,7237.txt,Toward a comprehensive model on stalking acknowledgment: A test of four models,10.1177/0011128711428731
1624,7238.pdf,2013-01-01,7238,7238.txt,Investigating the underlying structure and stability of problem behaviors across adolescence,10.1177/0093854812460496
1625,7239.pdf,2015-01-01,7239,7239.txt,Lifetime benefits and costs of diverting substance-abusing offenders from state prison,10.1177/0011128712461904
1626,7240.pdf,2006-01-01,7240,7240.txt,"The dynamics of a prison-based therapeutic community for women offenders: Retention, completion, and outcomes",10.1177/0032885505283871
1627,7241.pdf,2012-01-01,7241,7241.txt,Is diversion swift?: Comparing mental health court and traditional criminal justice processing,10.1177/0093854811432424
1628,7242.pdf,2006-01-01,7242,7242.txt,Recidivism following mandated residential substance abuse treatment for felony probationers,10.1177/0032885506287951
1629,7243.pdf,2012-01-01,7243,7243.txt,Revisiting the guilty mind: The neutralization of white-collar crime,10.1177/0734016812465618
1630,7244.pdf,2015-01-01,7244,7244.txt,Demographic characteristics and victimization risk: Testing the mediating effects of routine activities,10.1177/0011128712466932
1631,7245.pdf,2013-01-01,7245,7245.txt,"The dangerous drug offender in federal court: Intersections of race, ethnicity, and culpability",10.1177/0011128708319928
1632,7246.pdf,2013-01-01,7246,7246.txt,An examination of the interactions of race and gender on sentencing decisions using a trichotomous dependent variable,10.1177/0011128708330178
1633,7247.pdf,2013-01-01,7247,7247.txt,Correlates of reasons for not reporting rape to police: Results from a national telephone household probability sample of women with forcible or drug-or-alcohol facilitated/incapacitated rape,10.1177/0886260512455515
1634,7248.pdf,2006-01-01,7248,7248.txt,The decision to incarcerate in juvenile and criminal courts,10.1177/0734016806295584
1635,7249.pdf,2013-01-01,7249,7249.txt,Female sexual homicide offenders: An examination of an underresearched offender population,10.1177/1088767912449625
1636,7250.pdf,2009-01-01,7250,7250.txt,Intimate partner violence perpetration among college students: The role of gender role and gendered violence attitudes,10.1177/1557085108325235
1637,7251.pdf,2012-01-01,7251,7251.txt,Extending research on the victim-offender overlap: Evidence from a genetically informative analysis,10.1177/0886260512441259
1638,7252.pdf,2010-01-01,7252,7252.txt,The relationship between drug use and sexual aggression in men across time,10.1177/0886260509354586
1639,7253.pdf,2013-01-01,7253,7253.txt,An examination of police department uniform color and police-citizen aggression,10.1177/0093854812456644
1640,7254.pdf,2013-01-01,7254,7254.txt,Along for the ride: Best friends' resources and adolescents' college completion,10.3102/0002831212466689
1641,7255.pdf,2013-01-01,7255,7255.txt,"Genetic sensitivity to peer behaviors: 5HTTLPR, smoking, and alcohol consumption",10.1177/0022146512468591
1642,7256.pdf,2009-01-01,7256,7256.txt,Clubbing masculinities and crime: A qualitative study of Philadelphia nightclub scenes,10.1177/1557085109343676
1643,7257.pdf,2007-01-01,7257,7257.txt,A process and outcome evaluation of an agricultural crime prevention initiative,10.1177/0887403406294586
1644,7258.pdf,2006-01-01,7258,7258.txt,Sentencing outcomes under competing but coexisting sentencing interventions: Untying the Gordian Knot,10.1177/0734016806290138
1645,7259.pdf,2013-01-01,7259,7259.txt,"Schizencephaly: Association with young maternal age, alcohol use, and lack of prenatal care",10.1177/0883073812467850
1646,7260.pdf,2013-01-01,7260,7260.txt,Dual severe mental and substance use disorders as predictors of federal inmate assaults,10.1177/0032885512467312
1647,7261.pdf,2005-01-01,7261,7261.txt,On the front line: American cities and the challenge of homeland security preparedness,10.1177/1078087405279900
1648,7262.pdf,2007-01-01,7262,7262.txt,"Neighborhood residential segregation and physical health among Hispanic Americans: Good, bad, or benign?",10.1177/002214650704800203
1649,7263.pdf,2012-01-01,7263,7263.txt,Examining the link between being a victim of bullying and delinquency trajectories among an African American sample,10.1177/1057567712443965
1650,7264.pdf,2008-01-01,7264,7264.txt,"Incarceration as exposure: The prison, infectious disease, and other stress-related illnesses",10.1177/002214650804900105
1651,7265.pdf,2013-01-01,7265,7265.txt,Marital satisfaction and physical health: Evidence for an orchid effect,10.1177/0956797612453116
1652,7266.pdf,2009-01-01,7266,7266.txt,Deviant lifestyles and violent victimization at school,10.1177/0886260508323667
1653,7267.pdf,2013-01-01,7267,7267.txt,Guns and fear: A one-way street?,10.1177/0011128712462307
1654,7268.pdf,1994-01-01,7268,7268.txt,Drugs and guns among inner-city high school students,10.2190/2HLA-AG7K-X2AL-G9D5
1655,7269.pdf,2012-01-01,7269,7269.txt,"Who's the man? Fragile masculinities, consumer masculinities, and the profiles of sex work clients",10.1177/1097184X12458591
1656,7270.pdf,2012-01-01,7270,7270.txt,A contextual comparison of risk behaviors among older adult drug users and harm reduction in suburban versus inner-city social environments,10.1177/1936724411431035
1657,7271.pdf,2012-01-01,7271,7271.txt,Understanding the change in male and female intimate partner homicide over time: A policy-and theory-relevant investigation,10.1177/1557085111428445
1658,7272.pdf,2012-01-01,7272,7272.txt,Anxiety disorders and Latinos: The role of family cohesion and family discord,10.1177/0739986312459258
1659,7273.pdf,2009-01-01,7273,7273.txt,Demographics and police involvement: Implications for student civil liberties and just leadership,10.1177/0013161X09335545
1660,7274.pdf,2012-01-01,7274,7274.txt,As fathers and felons: Explaining the effects of current and recent incarceration on major depression,10.1177/0022146512462400
1661,7275.pdf,2012-01-01,7275,7275.txt,Sustained attention at age 5 predicts attention-related problems at age 9,10.1177/0165025412450527
1662,7276.pdf,2013-01-01,7276,7276.txt,Neighborhood context and police vigor: A multilevel analysis,10.1177/0011128712470348
1663,7277.pdf,2013-01-01,7277,7277.txt,Analyzing the origins of life-course-persistent offending: A consideration of environmental and genetic influences,10.1177/0093854812458907
1664,7278.pdf,2013-01-01,7278,7278.txt,Homicide against or by the elderly in Chicago 1965-2000,10.1177/1088767913478596
1665,7279.pdf,2010-01-01,7279,7279.txt,Mean ages of homicide victims and victims of homicide-suicide,10.2466/PR0.106.1.163-169
1666,7280.pdf,2013-01-01,7280,7280.txt,High school transfer students and the transition to college: Timing and the structure of the school year,10.1177/0038040712452889
1667,7281.pdf,2007-01-01,7281,7281.txt,Subjective desistance and the transition to adulthood,10.1177/1043986206298950
1668,7282.pdf,2013-01-01,7282,7282.txt,"A double-edged sword: Race, daily family support exchanges, and daily well-being",10.1177/0192513x13479595
1669,7283.pdf,2009-01-01,7283,7283.txt,"State high school exit examinations and NAEP long-term trends in reading and mathematics, 1971-2004",10.1177/0895904808320678
1670,7284.pdf,2005-01-01,7284,7284.txt,High school exit examinations and high school completion: Evidence from the early 1990s,10.3102/01623737027001053
1671,7285.pdf,2009-01-01,7285,7285.txt,Measuring high school graduation rates at the state level: What difference does methodology make?,10.1177/0049124109339374
1672,7286.pdf,2013-01-01,7286,7286.txt,The role of social capital in health communication campaigns: The case of the national youth anti-drug media campaign,10.1177/0093650212446332
1673,7287.pdf,2010-01-01,7287,7287.txt,Identifying imprisonment patterns and their relation to crime among New York Counties 1990-2000: An exploratory application of trajectory modeling,10.1177/0887403409338563
1674,7288.pdf,2012-01-01,7288,7288.txt,Marijuana price gradients: Implications for exports and export-generated tax revenue for California after legalization,10.1177/0022042612436650
1675,7289.pdf,2012-01-01,7289,7289.txt,Pressured into deception: Using General Strain Theory as a framework for testing the validity of self-reported drug use of respondents in jail,10.1177/0022042612461771
1676,7290.pdf,2014-01-01,7290,7290.txt,"General strain theory, gender, and the conditioning influence of negative internalizing emotions on youth risk behaviors",10.1177/1541204013477428
1677,7291.pdf,2013-01-01,7291,7291.txt,Risk-taking and self-regulation: A systematic review of the analysis of delinquency outcomes in the juvenile justice intervention literature 1996-2009,10.1177/0093854812469608
1678,7292.pdf,2013-01-01,7292,7292.txt,"Do the drugs, do the time? The effect of drug abuse on sentences imposed on drug offenders in three U.S. district courts",10.1177/0093854812468433
1679,7293.pdf,2013-01-01,7293,7293.txt,Genetic transmission effects and intergenerational contact with the criminal justice system: A consideration of three dopamine polymorphisms,10.1177/0093854812468434
1680,7294.pdf,2010-01-01,7294,7294.txt,Alcohol and other substance use among deaf and hard of hearing youth,10.2190/DE.40.2.a
1681,7295.pdf,2012-01-01,7295,7295.txt,Crime and place: Proximity and the location of methamphetamine laboratories,10.1177/0022042612446594
1682,7296.pdf,2013-01-01,7296,7296.txt,"The efficiency of frisks in the NYPD, 2004-2010",10.1177/0734016812466570
1683,7297.pdf,2012-01-01,7297,7297.txt,"Elements of terrorism preparedness in local police agencies, 2003-2007: Impact of vulnerability, organizational characteristics, and contagion in the post-9/11 era",10.1177/0011128712452960
1684,7298.pdf,2006-01-01,7298,7298.txt,"Support, gender, and inmate adjustment to prison life: Insights from a national sample",10.1177/0032885505283876
1685,7299.pdf,2012-01-01,7299,7299.txt,Studies of the new immigration: The dangers of pan-ethnic classifications,10.1177/0002716211431687
1686,7300.pdf,2012-01-01,7300,7300.txt,The value of family routines for the academic success of vulnerable adolescents,10.1177/0192513X11428569
1687,7301.pdf,2009-01-01,7301,7301.txt,Shame and punishment: An international comparative study on the effects of religious affiliation and religiosity on attitudes to offending,10.1177/1477370809341129
1688,7302.pdf,2012-01-01,7302,7302.txt,The effect of parents' attitudes on sons' marriage timing,10.1177/0003122412464041
1689,7303.pdf,2013-01-01,7303,7303.txt,Being male or living with a female: Fear for partners by sex and sexual orientation,10.1177/0886260512469109
1690,7304.pdf,2013-01-01,7304,7304.txt,Health outcomes among women trafficked for sex in the United States: A closer look,10.1177/0886260512469102
1691,7305.pdf,2013-01-01,7305,7305.txt,College women's experiences with rape disclosure: A national study,10.1177/1077801213487746
1692,7306.pdf,2013-01-01,7306,7306.txt,"Racial diversity, is it a blessing to an organization? Examining its organizational consequences in municipal police departments",10.1177/0020852312467613
1693,7307.pdf,2012-01-01,7307,7307.txt,The Voting Rights Act of 1965 and strategic policy making in the South,10.1177/1532440012451979
1694,7308.pdf,2011-01-01,7308,7308.txt,Latino/a Student Misbehavior and School Punishment,10.1177/0739986310388021
1695,7309.pdf,2015-01-01,7309,7309.txt,"Race, ethnicity, and school-based adolescent victimization",10.1177/0011128711398021
1696,7310.pdf,2011-01-01,7310,7310.txt,Immigration and students' relationship with teachers,10.1177/0013124510380233
1697,7311.pdf,2011-01-01,7311,7311.txt,Social control theory and school misbehavior: Examining the role of race and ethnicity,10.1177/1541204010389197
1698,7312.pdf,2012-01-01,7312,7312.txt,New fathers? Residential fathers' time with children in four countries,10.1177/0192513X11425779
1699,7313.pdf,2008-01-01,7313,7313.txt,Comparison of the National Violent Death Reporting System and Supplementary Homicide Report: Potential benefits of integration,10.3818/JRP.10.2.2008.67
1700,7314.pdf,2013-01-01,7314,7314.txt,"Troubled times, troubled relationships: How economic resources, gender beliefs, and neighborhood disadvantage influence intimate partner violence",10.1177/0886260512471083
1701,7315.pdf,2014-01-01,7315,7315.txt,Gender and sentencing in the federal courts: Are women treated more leniently?,10.1177/0887403412466877
1702,7316.pdf,2015-01-01,7316,7316.txt,"Race, ethnicity, and judicial discretion: The influence of the United States v. Booker decision",10.1177/0011128712470990
1703,7317.pdf,2012-01-01,7317,7317.txt,Revisiting the normal crime and liberation hypotheses: Citizenship status and unwarranted disparity,10.1177/0734016811436336
1704,7318.pdf,2013-01-01,7318,7318.txt,The historical nature of cities: A study of urbanization and hazardous waste accumulation,10.1177/0003122413493285
1705,7319.pdf,2013-01-01,7319,7319.txt,"Common-space ideal points, committee assignments, and financial interests in the state legislatures",10.1177/1532440012455525
1706,7320.pdf,2013-01-01,7320,7320.txt,Early life course pathways of adult depression and chronic pain,10.1177/0022146512475089
1707,7321.pdf,2013-01-01,7321,7321.txt,"Generational changes in materialism and work centrality, 1976-2007: Associations with temporal changes in societal insecurity and materialistic role modeling",10.1177/0146167213484586
1708,7322.pdf,2005-01-01,7322,7322.txt,Moving to Opportunity: The demonstration's design and its effects on mobility,10.1080/00420980500150599
1709,7323.pdf,2011-01-01,7323,7323.txt,Moving to Opportunity: The political effects of a housing mobility experiment,10.1177/1078087411426399
1710,7324.pdf,2013-01-01,7324,7324.txt,The gang problem: Fabricated panics or real temporal patterns?,10.1177/1088767912460664
1711,7325.pdf,2008-01-01,7325,7325.txt,Content knowledge for teaching: What makes it special?,10.1177/0022487108324554
1712,7326.pdf,2013-01-01,7326,7326.txt,"Crises, commissions, and reform: The Impact of blue-ribbon panels",10.1177/1065912913491465
1713,7327.pdf,2011-01-01,7327,7327.txt,A validity argument approach to evaluating teacher value-added scores,10.3102/0002831210387916
1714,7328.pdf,2007-01-01,7328,7328.txt,Mathematical knowledge of middle school teachers: Implications for the No Child Left Behind policy initiative,10.3102/0162373707301711
1715,7329.pdf,2007-01-01,7329,7329.txt,Teachers' mathematics knowledge for teaching and school context: A study of California teachers,10.1177/0895904807307061
1716,7330.pdf,2014-01-01,7330,7330.txt,"Examining the instrumental-expressive continuum of homicides: Incorporating the effects of gender, victim-offender relationships, and weapon choice",10.1177/1088767913493420
1717,7331.pdf,2009-01-01,7331,7331.txt,Designing video-based professional development for mathematics teachers in low-performing schools,10.1177/0022487108328485
1718,7332.pdf,2010-01-01,7332,7332.txt,Selecting and supporting the use of mathematics curricula at scale,10.3102/0002831209361210
1719,7333.pdf,2013-01-01,7333,7333.txt,A multisite evaluation of prison-based drug treatment: Four-year follow-up results,10.1177/0032885513490265
1720,7334.pdf,2013-01-01,7334,7334.txt,And then they behaved: Examining the institutional misconduct of adult inmates who were incarcerated as juveniles,10.1177/0032885513490270
1721,7335.pdf,2013-01-01,7335,7335.txt,Jane Jacobs and 'The Need for Aged Buildings': Neighbourhood historical development pace and community social relations,10.1177/0042098013477698
1722,7336.pdf,2013-01-01,7336,7336.txt,"Telecommuting, household commute and location choice",10.1177/0042098012474520
1723,7337.pdf,2013-01-01,7337,7337.txt,Associations between order maintenance policing and violent crime: Considering the mediating effects of residential context,10.1177/0011128709336940
1724,7338.pdf,2013-01-01,7338,7338.txt,The impact of drug treatment on recidivism: Do mandatory programs make a difference? Evidence from Kansas's Senate Bill 123,10.1177/0011128709348447
1725,7339.pdf,2012-01-01,7339,7339.txt,Identifying correlates of stable gang membership,10.1177/1043986212458196
1726,7340.pdf,2014-01-01,7340,7340.txt,"More than a feeling: Integrating empathy into the study of lawmaking, lawbreaking, and reactions to lawbreaking",10.1177/0306624X12465411
1727,7341.pdf,2011-01-01,7341,7341.txt,Perceptions and credibility: Understanding the nuances of eyewitness testimony,10.1177/1043986211405886
1728,7342.pdf,2013-01-01,7342,7342.txt,"Neighborhood immigration, violence, and city-level immigrant political opportunities",10.1177/0003122413491964
1729,7343.pdf,2012-01-01,7343,7343.txt,Is plea bargaining a rational choice? Plea bargaining as an engine of racial stratification and overcrowding in the United States prison system,10.1177/1043463112441351
1730,7344.pdf,1968-01-01,7344,7344.txt,Association of oral disease with 12 selected variables: II. edentulism,10.1177/00220345680470041401
1731,7345.pdf,1968-01-01,7345,7345.txt,Association of oral disease with 12 selected variables: I. periodontal disease,10.1177/00220345680470031901
1732,7346.pdf,2013-01-01,7346,7346.txt,Accounting for identity theft: The roles of lifestyle and enactment,10.1177/1043986213496174
1733,7347.pdf,2013-01-01,7347,7347.txt,Deterrence and macro-level perceptions of punishment risks: Is there a 'collective wisdom'?,10.1177/0011128708327569
1734,7348.pdf,2013-01-01,7348,7348.txt,"How much does 'how much' matter? Assessing the relationship between children's lifetime exposure to violence and trauma symptoms, behavior problems, and parenting stress",10.1177/0886260512468239
1735,7349.pdf,2013-01-01,7349,7349.txt,On the relationship between peer isolation and offending specialization: The role of peers in promoting versatile offending,10.1177/0011128713501031
1736,7350.pdf,2013-01-01,7350,7350.txt,"Substance use and intimate partner violence victimization among White, African American, and Latina Women",10.1177/0886260513496903
1737,7351.pdf,2013-01-01,7351,7351.txt,General strain theory and delinquency: Extending a popular explanation to American Indian Youth,10.1177/0044118X13499593
1738,7352.pdf,2013-01-01,7352,7352.txt,"Child abuse and neglect, developmental role attainment, and adult arrests",10.1177/0022427812471177
1739,7353.pdf,2012-01-01,7353,7353.txt,Inhalant initiation and the relationship of inhalant use to the use of other substances,10.2190/DE.42.3.e
1740,7354.pdf,2013-01-01,7354,7354.txt,"Disproportionate minority confinement of juveniles: A national examination of black-white disparity in placements, 1997-2006",10.1177/0011128709359653
1741,7355.pdf,2013-01-01,7355,7355.txt,Social networks and smoking exploring the effects of peer influence and smoker popularity through simulations,10.1177/1090198113493091
1742,7356.pdf,2014-01-01,7356,7356.txt,"Individual, social, and neighborhood influences on the launch of adolescent antisocial behavior",10.1177/1541204013483779
1743,7357.pdf,2014-01-01,7357,7357.txt,The effects of birth location and sociological influences on violent victimization among Hispanic youth,10.1177/1541204013502824
1744,7358.pdf,2013-01-01,7358,7358.txt,"'Feeling disorder' as a comparative and contingent process: Gender, neighborhood conditions, and adolescent mental health",10.1177/0022146513498510
1745,7359.pdf,2013-01-01,7359,7359.txt,Does bully victimization predict future delinquency? A propensity score matching approach,10.1177/0093854813503443
1746,7360.pdf,2013-01-01,7360,7360.txt,The effects of exposure to violence on inmate maladjustment,10.1177/0093854813495392
1747,7361.pdf,2013-01-01,7361,7361.txt,What is the effect of IQ on offending?,10.1177/0093854813485736
1748,7362.pdf,2013-01-01,7362,7362.txt,Neighborhoods and parenting: Assessing the influence of neighborhood quality on the parental monitoring of youth,10.1177/0044118X13502365
1749,7363.pdf,2010-01-01,7363,7363.txt,"Carving voters out: Redistricting's influence on political information, turnout, and voting behavior",10.1177/1065912908330728
1750,7364.pdf,2009-01-01,7364,7364.txt,Do redistricting principles and practices affect U.S. state legislative electoral competition?,10.1177/153244000900900202
1751,7365.pdf,2010-01-01,7365,7365.txt,The impact of descriptive representation on women's political engagement: Does party matter?,10.1177/1065912908330346
1752,7366.pdf,2011-01-01,7366,7366.txt,Revisiting the gender gap in time-use patterns: Multitasking and well-being among mothers and fathers in dual-earner families,10.1177/0003122411425170
1753,7367.pdf,2012-01-01,7367,7367.txt,"Sexual harassment, workplace authority, and the paradox of power",10.1177/0003122412451728
1754,7368.pdf,2014-01-01,7368,7368.txt,The criminal justice system and the racialization of perceptions,10.1177/0002716213503097
1755,7369.pdf,2013-01-01,7369,7369.txt,Does household gun access increase the risk of attempted suicide? Evidence from a national sample of adolescents,10.1177/0044118X11417735
1756,7370.pdf,2013-01-01,7370,7370.txt,Ordered delinquency: The 'effects' of birth order on delinquency,10.1177/0146167213488215
1757,7371.pdf,2013-01-01,7371,7371.txt,Investigation of ways to handle sampling weights for multilevel model analyses,10.1177/0081175012460221
1758,7372.pdf,2012-01-01,7372,7372.txt,Macrostructure from microstructure: Generating whole systems from ego networks,10.1177/0081175012455628
1759,7373.pdf,2013-01-01,7373,7373.txt,The impact of offenders leaving the scene on the police decision to arrest in cases of intimate partner violence,10.1177/1077801213501843
1760,7374.pdf,2009-01-01,7374,7374.txt,Does the 'Marriage Benefit' extend to partners in gay and lesbian relationships? Evidence from a random sample of sexually active adults,10.1177/0192513X08324382
1761,7375.pdf,2011-01-01,7375,7375.txt,Development and evaluation of an agent-based model of sexual partnership,10.1177/1059712311422611
1762,7376.pdf,2014-01-01,7376,7376.txt,Fatal and non-fatal intimate partner violence: What separates the men from the women for victimizations reported to police?,10.1177/1088767912471341
1763,7377.pdf,2014-01-01,7377,7377.txt,Revisiting the quality and use of race-specific homicide data: Exploring substantive implications,10.1177/1088767912471670
1764,7378.pdf,2013-01-01,7378,7378.txt,Race and cumulative discrimination in the prosecution of criminal defendants,10.1177/2153368713500317
1765,7379.pdf,2013-01-01,7379,7379.txt,"Race/ethnicity, foreign-born status, and victimization in Seattle, WA",10.1177/2153368713508191
1766,7380.pdf,2014-01-01,7380,7380.txt,Local dependence in latent class analysis of rare and sensitive events,10.1177/0049124113506407
1767,7381.pdf,2010-01-01,7381,7381.txt,A national evaluation of community-based youth cessation programs: Design and implementation,10.1177/0193841X10391970
1768,7382.pdf,2015-01-01,7382,7382.txt,Inside the black box: Identifying the variables that mediate the effects of an experimental intervention for adolescents,10.1177/0011128711398030
1769,7383.pdf,2012-01-01,7383,7383.txt,Suppressing the harmful effects of key risk factors: Results from the Children at Risk experimental intervention,10.1177/0093854812442475
1770,7384.pdf,2013-01-01,7384,7384.txt,The conditional impact of official labeling on subsequent delinquency: Considering the attenuating role of family attachment,10.1177/0022427812444931
1771,7385.pdf,2012-01-01,7385,7385.txt,Beyond crime and drug use: Do adult drug courts produce other psychosocial benefits?,10.1177/0022042612446592
1772,7386.pdf,2012-01-01,7386,7386.txt,Does recent physical and sexual victimization affect further substance use for adult drug-involved offenders?,10.1177/0886260511433517
1773,7387.pdf,2013-01-01,7387,7387.txt,Looking up: Explaining police promotional aspirations,10.1177/0093854812458426
1774,7388.pdf,2014-01-01,7388,7388.txt,A game of catch-up? The offending experience of second-generation immigrants,10.1177/0011128713502406
1775,7389.pdf,2013-01-01,7389,7389.txt,An exploratory analysis of terrorism prevention and response preparedness efforts in municipal police departments in the United States: Which agencies participate in terrorism prevention and why?,10.1350/pojo.2013.86.2.618
1776,7390.pdf,2014-01-01,7390,7390.txt,Trends in substance use among 6th- to 10th-grade students from 1998 to 2010: Findings from a national probability study,10.1177/0272431613501409
1777,7391.pdf,2013-01-01,7391,7391.txt,Reporting and clearance of cyberbullying incidents: Applying 'offline' theories to online victims,10.1177/1043986213507399
1778,7392.pdf,2011-01-01,7392,7392.txt,Reconciling the multiple objectives of prison diversion programs for drug offenders: Evidence from Kansas' Senate Bill 123,10.1177/0193841X12439194
1779,7393.pdf,2014-01-01,7393,7393.txt,"Pathways between substance use, dependence, offense type, and offense severity",10.1177/0887403413499582
1780,7394.pdf,2010-01-01,7394,7394.txt,A path analysis of reading comprehension for adults with low literacy,10.1177/0022219409359345
1781,7395.pdf,2008-01-01,7395,7395.txt,Contrasting adult literacy learners with and without specific learning disabilities,10.1177/0741932508315053
1782,7396.pdf,2014-01-01,7396,7396.txt,"Violence and economic conditions in the United States, 1973-2011: Gender, race, and ethnicity patterns in the National Crime Victimization Survey",10.1177/1043986213509024
