pdf_file_name,pub_date,publication_id,text_file_name,title,unique_identifier
1791.pdf,2008-01-01,1791,1791.txt,"Obesity and C-reactive protein levels among White, Black, and Hispanic US adults",10.1038/oby.2008.7
1792.pdf,2008-01-01,1792,1792.txt,Factors and common conditions associated with adolescent dietary supplement use: an analysis of the National Health and Nutrition Examination Survey (NHANES),10.1186/1472-6882-8-9
1793.pdf,2008-01-01,1793,1793.txt,Trends in circulating concentrations of total homocysteine among US adolescents and adults: Findings from the 1991-1994 and 1999-2004 National Health and Nutrition Examination Surveys,10.1373/clinchem.2007.100214
1794.pdf,2008-01-01,1794,1794.txt,Addendum to: Evaluation of PCDD/F and dioxin-like PCB serum concentration data from the 2001-2002 National Health and Nutrition Examination Survey of the United States population,10.1038/jes.2008.10
1795.pdf,2008-01-01,1795,1795.txt,Prevalence of syphilis seroreactivity in the United States: Data from the National Health and Nutrition Examination Surveys (NHANES) 2001-2004,10.1097/OLQ.0b013e3181644bae
1796.pdf,2008-01-01,1796,1796.txt,Prevalence of chronic pain in a representative sample in the United States,10.1111/j.1526-4637.2008.00425.x
1797.pdf,2008-01-01,1797,1797.txt,Urinary concentrations of triclosan in the U.S. population: 2003-2004,10.1289/ehp.10768
1798.pdf,2008-01-01,1798,1798.txt,Acculturation and healthy lifestyle among Latinos with diabetes,10.1370/afm.814
1799.pdf,2008-01-01,1799,1799.txt,Patterns of objectively measured physical activity in the United States,10.1249/MSS.0b013e3181620ebc
1800.pdf,2008-01-01,1800,1800.txt,"Amount of time spent in sedentary behaviors in the United States, 2003-2004",10.1093/aje/kwm390
1801.pdf,2009-01-01,1801,1801.txt,US and France adult fruit and vegetable consumption patterns: An international comparison,10.1038/ejcn.2008.2
1802.pdf,2008-01-01,1802,1802.txt,The change in weight perception of weight status among the overweight: Comparison of NHANES III (1988-1994) and 1999-2004 NHANES,10.1186/1479-5868-5-9
1803.pdf,2007-01-01,1803,1803.txt,Predictive value of weight-for-age to identify overweight children,10.1038/oby.2007.370
1804.pdf,2008-01-01,1804,1804.txt,Cadmium exposure and hypertension in the 1999-2004 National Health and Nutrition Examination Survey (NHANES),10.1289/ehp.10764
1805.pdf,2008-01-01,1805,1805.txt,"The association between heavy metals, endometriosis and uterine myomas among premenopausal women: National Health and Nutrition Examination Survey 1999-2002",10.1093/humrep/dem394
1806.pdf,2008-01-01,1806,1806.txt,"Are demographic characteristics, health care access and utilization, and comorbid conditions associated with hypertension among US adults?",10.1038/ajh.2007.32
1807.pdf,2008-01-01,1807,1807.txt,Predictors of persistence with antihypertensive therapy: Results from the NHANES,10.1038/ajh.2007.33
1808.pdf,2007-01-01,1808,1808.txt,Are Americans shorter (partly) because they are fatter? A comparison of US and Dutch children's height and BMI values,10.1080/03014460701730032
1810.pdf,2008-01-01,1810,1810.txt,Diabetes Risk Calculator: A simple tool for detecting undiagnosed diabetes and pre-diabetes,10.2337/dc07-1150
1811.pdf,2007-01-01,1811,1811.txt,Shifts in patterns and consumption of beverages between 1965 and 2002,10.1038/oby.2007.326
1812.pdf,2008-01-01,1812,1812.txt,Relationships between levels of volatile organic compounds in air and blood from the general population,10.1038/sj.jes.7500635
1813.pdf,2007-01-01,1813,1813.txt,"In vitamin B12 deficiency, higher serum folate is associated with increased total homocysteine and methylmalonic acid concentrations",10.1073/pnas.0709487104
1814.pdf,2007-01-01,1814,1814.txt,"Seroprevalence of measles antibody in the US population, 1999-2004",10.1086/522866
1815.pdf,2007-01-01,1815,1815.txt,Prevalence of chronic kidney disease in the United States,10.1001/jama.298.17.2038
1816.pdf,2007-01-01,1816,1816.txt,"The changing relationship of obesity and disability, 1988-2004",10.1001/jama.298.17.2020
1818.pdf,2008-01-01,1818,1818.txt,Serum total bilirubin level and prevalent lower-extremity peripheral arterial disease: National Health and Nutrition Examination Survey (NHANES) 1999 to 2004,10.1161/ATVBAHA.107.153262
1819.pdf,2007-01-01,1819,1819.txt,"Usage patterns, health, and nutritional status of long-term multiple dietary supplement users: A cross-sectional study",10.1186/1475-2891-6-30
1820.pdf,2007-01-01,1820,1820.txt,Association of C-reactive protein with surrogate measures of insulin resistance among nondiabetic US from National Health and Nutrition Examination Survey 1999-2002,10.1373/clinchem.2007.088930
1821.pdf,2008-01-01,1821,1821.txt,Is glycemic control improving in U.S. adults?,10.2337/dc07-1572
1822.pdf,2007-01-01,1822,1822.txt,Prevalence of self-reported diagnosis of diabetes mellitus and associated risk factors in a national survey in the US population: SHIELD (Study to Help Improve Early evaluation and management of risk factors Leading to Diabetes),10.1186/1471-2458-7-277
1823.pdf,2008-01-01,1823,1823.txt,Relationship of polyunsaturated fatty acid intake to peripheral neuropathy among adults with diabetes in the National Health and Nutrition Examination Survey (NHANES) 1999 2004,10.2337/dc07-0931
1824.pdf,2007-01-01,1824,1824.txt,"Dietary supplement use among infants, children, and adolescents in the United States, 1999-2002",10.1001/archpedi.161.10.978
1825.pdf,2008-01-01,1825,1825.txt,Serum 25-hydroxyvitamin D and hip fracture risk in older U.S. white adults,10.1359/jbmr.071003
1826.pdf,2007-01-01,1826,1826.txt,Association between serum gamma-glutamyltransferase level and prehypertension among US adults,10.1253/circj.71.1567
1827.pdf,2007-01-01,1827,1827.txt,Impact of smoking and thiocyanate on perchlorate and thyroid hormone associations in the 2001-2002 National Health and Nutrition Examination Survey,10.1289/ehp.10300
1828.pdf,2007-01-01,1828,1828.txt,Bone mineral density in adults with the metabolic syndrome: Analysis in a population-based U.S. sample,10.1210/jc.2007-0757
1829.pdf,2007-01-01,1829,1829.txt,"Prevalence, recognition, and treatment of attention-deficit/hyperactivity disorder in a national sample of US children",10.1001/archpedi.161.9.857
1830.pdf,2007-01-01,1830,1830.txt,The association between blood lead levels and osteoporosis among adults--Results from the Third National Health and Nutrition Examination Survey (NHANES III),10.1289/ehp.9716
1831.pdf,2007-01-01,1831,1831.txt,Family history and prevalence of diabetes in the U.S. population: The 6-year results from the National Health and Nutrition Examination Survey (1999-2004),10.2337/dc07-0720
1832.pdf,2007-01-01,1832,1832.txt,"The prevalence of bacterial vaginosis in the United States, 2001-2004: Associations with symptoms, sexual behaviors, and reproductive health",10.1097/OLQ.0b013e318074e565
1833.pdf,2007-01-01,1833,1833.txt,Cigarette smoking status and the association between media use and overweight and obesity,10.1093/aje/kwm142
1834.pdf,2002-01-01,1834,1834.txt,"Changes in population and agricultural land in conterminous United States counties, 1790 to 1997",10.1029/2001GB001843
1835.pdf,2007-01-01,1835,1835.txt,Utility of A1C for diabetes screening in the 1999 2004 NHANES population,10.2337/dc07-0585
1836.pdf,2007-01-01,1836,1836.txt,Serum anion gap and blood pressure in the National Health and Nutrition Examination Survey,10.1161/HYPERTENSIONAHA.107.092643
1838.pdf,2007-01-01,1838,1838.txt,Serum levels of insulin-like growth factor-I and insulin-like growth factor-I binding protein-3: Quality control for studies of stored serum,10.1158/1055-9965.EPI-07-0044
1840.pdf,2007-01-01,1840,1840.txt,Characteristics of a 'weekend warrior': Results from two national surveys,10.1249/mss.0b013e318031faac
1841.pdf,2007-01-01,1841,1841.txt,Leisure-time physical activity patterns by weight control status: 1999-2002 NHANES,10.1249/mss.0b013e3180333efc
1843.pdf,2007-01-01,1843,1843.txt,Can we trust national smoking prevalence figures? Discrepancies between biochemically assessed and self-reported smoking rates in three countries,10.1158/1055-9965.EPI-06-0679
1844.pdf,2007-01-01,1844,1844.txt,Is there a single underlying factor for the metabolic syndrome in adolescents? A confirmatory factor analysis,10.2337/dc06-2481
1845.pdf,2007-01-01,1845,1845.txt,Implications of cardiac risk and low-density lipoprotein cholesterol distributions in the United States for the diagnosis and treatment of dyslipidemia: Data from National Health and Nutrition Examination Survey 1999 to 2002,10.1161/CIRCULATIONAHA.106.645473
1846.pdf,2007-01-01,1846,1846.txt,Prevalence of HPV infection among females in the United States,10.1001/jama.297.8.813
1847.pdf,2007-01-01,1847,1847.txt,"Prevalence, awareness, treatment, and control of hypertension among United States adults 1999-2004",10.1161/01.HYP.0000252676.46043.18
1848.pdf,2006-01-01,1848,1848.txt,"Health-related quality of life and weight loss among overweight and obese U.S. adults, 2001 to 2002",10.1038/oby.2006.239
1849.pdf,2006-01-01,1849,1849.txt,"Age, sex, and ethnic variations in serum insulin concentrations among U.S. youth: findings from the National Health and Nutrition Examination Survey 1999-2002",10.2337/dc06-1083
1850.pdf,2006-01-01,1850,1850.txt,Association between the metabolic syndrome and its components and gait speed among U.S. adults aged 50 years and older: A cross-sectional analysis,10.1186/1471-2458-6-282
1851.pdf,2006-01-01,1851,1851.txt,Satisfied or unaware? Racial differences in perceived weight status,10.1186/1479-5868-3-40
1852.pdf,2007-01-01,1852,1852.txt,"25-Hydroxyvitamin D, insulin resistance, and kidney function in the Third National Health and Nutrition Examination Survey",10.1038/sj.ki.5002002
1853.pdf,2006-01-01,1853,1853.txt,A strong dose-response relation between serum concentrations of persistent organic pollutants and diabetes: Results from the National Health and Nutrition Examination Survey 1999-2002: Response to Lee et al,10.2337/dc06-1531
1854.pdf,2006-01-01,1854,1854.txt,The burden and treatment of diabetes in elderly individuals in the U.S.,10.2337/dc06-1058
1856.pdf,2006-01-01,1856,1856.txt,"Prostate-specific antigen values in diabetic and nondiabetic US men, 2001-2002",10.1093/aje/kwj311
1857.pdf,2006-01-01,1857,1857.txt,Cardiorespiratory fitness levels among US youth 12 to 19 years of age: Findings from the 1999-2002 National Health and Nutrition Examination Survey,10.1001/archpedi.160.10.1005
1858.pdf,2010-01-01,1858,1858.txt,"Co-occurrence of victimization from five subtypes of bullying: Physical, verbal, social exclusion, spreading rumors, and cyber",10.1093/jpepsy/jsq048
1859.pdf,2006-01-01,1859,1859.txt,Incidence of metabolic syndrome in a cohort of HIV-infected adults and prevalence relative to the US population (National Health and Nutrition Examination Survey),10.1097/01.qai.0000243093.34652.41
1860.pdf,2006-01-01,1860,1860.txt,Trends in herpes simplex virus type 1 and type 2 seroprevalence in the United States,10.1001/jama.296.8.964
1861.pdf,2006-01-01,1861,1861.txt,Peripheral insensate neuropathy--a tall problem for US adults?,10.1093/aje/kwj281
1864.pdf,2006-01-01,1864,1864.txt,"Short stature and the risk of adiposity, insulin resistance, and type 2 diabetes in middle age: the Third National Health and Nutrition Examination Survey (NHANES III), 1988-1994",10.2337/dc05-1997
1865.pdf,2006-01-01,1865,1865.txt,International comparison of the relationship of chronic kidney disease prevalence and ESRD risk,10.1681/ASN.2005121273
1866.pdf,2006-01-01,1866,1866.txt,Consent for genetic research in a general population: An update on the National Health and Nutrition Examination Survey experience,10.1097/01.gim.0000223552.70393.08
1867.pdf,2006-01-01,1867,1867.txt,Trends in the exposure of nonsmokers in the U.S. population to secondhand smoke: 1988-2002,10.1289/ehp.8850
1868.pdf,2006-01-01,1868,1868.txt,Prevalence of diabetes and impaired fasting glucose in adults in the U.S. population: National Health And Nutrition Examination Survey 1999-2002,10.2337/dc06-0062
1870.pdf,2006-01-01,1870,1870.txt,Population-based reference standards for cardiovascular fitness among U.S. adults: NHANES 1999-2000 and 2001-2002,10.1249/01.mss.0000210193.49210.b5
1871.pdf,2006-01-01,1871,1871.txt,Inflammation and changes in metabolic syndrome abnormalities in US adolescents: Findings from the 1988-1994 and 1999-2000 National Health and Nutrition Examination Surveys,10.1373/clinchem.2006.067181
1872.pdf,2006-01-01,1872,1872.txt,Disease and disadvantage in the United States and in England,10.1001/jama.295.17.2037
1873.pdf,2006-01-01,1873,1873.txt,"Prevalence of HIV in the US household population: The National Health and Nutrition Examination Surveys, 1988 to 2002",10.1097/01.qai.0000194235.31078.f6
1874.pdf,2006-01-01,1874,1874.txt,"Prevalence of diabetes and impaired fasting glucose levels among US adolescents: National Health and Nutrition Examination Survey, 1999-2002",10.1001/archpedi.160.5.523
1876.pdf,2011-01-01,1876,1876.txt,"Changes in US spending on mental health and substance abuse treatment, 1986–2005, and implications for policy",10.1377/hlthaff.2010.0765
1877.pdf,2006-01-01,1877,1877.txt,"Prevalence of overweight and obesity in the United States, 1999-2004",10.1001/jama.295.13.1549
1878.pdf,2006-01-01,1878,1878.txt,"Achievement of American Diabetes Association clinical practice recommendations among U.S. adults with diabetes, 1999-2002: The National Health and Nutrition Examination Survey",10.2337/diacare.29.03.06.dc05-1254
1879.pdf,2006-01-01,1879,1879.txt,Is extreme obesity a risk factor for cardiac surgery? An analysis of patients with a BMI > or = 40,10.1016/j.ejcts.2006.01.016
1880.pdf,2006-01-01,1880,1880.txt,"Confounding of the relation between homocysteine and peripheral arterial disease by lead, cadmium, and renal function",10.1093/aje/kwj090
1881.pdf,2006-01-01,1881,1881.txt,"Blood mercury reporting in NHANES: identifying Asian, Pacific Islander, Native American, and multiracial groups",10.1289/ehp.8464
1882.pdf,2005-01-01,1882,1882.txt,Prevalence and cardiovascular disease correlates of low cardiorespiratory fitness in adolescents and adults,10.1001/jama.294.23.2981
1883.pdf,2006-01-01,1883,1883.txt,Antihypertensive medication use among US adults with hypertension,10.1161/CIRCULATIONAHA.105.542290
1884.pdf,2005-01-01,1884,1884.txt,"Patterns of alcohol drinking and its association with obesity: Data from the Third National Health and Nutrition Examination Survey, 1988-1994",10.1186/1471-2458-5-126
1885.pdf,2006-01-01,1885,1885.txt,Iron deficiency and Helicobacter pylori infection in the United States,10.1093/aje/kwj018
1886.pdf,2005-01-01,1886,1886.txt,Prevalence of the metabolic syndrome defined by the International Diabetes Federation among adults in the U.S.,10.2337/diacare.28.11.2745
1887.pdf,2006-01-01,1887,1887.txt,A comparison of national estimates of obesity prevalence from the behavioral risk factor surveillance system and the National Health and Nutrition Examination Survey,10.1038/sj.ijo.0803125
1888.pdf,2005-01-01,1888,1888.txt,"Hospitalizations attributable to arthritis, smoking, and hypertension: A comparison based on NHEFS and NHANES III",10.1002/art.21316
1889.pdf,2005-01-01,1889,1889.txt,Prostate-specific antigen levels in the United States: Implications of various definitions for abnormal,10.1093/jnci/dji205
1890.pdf,2005-01-01,1890,1890.txt,Relationship between HbA1c level and peripheral arterial disease,10.2337/diacare.28.8.1981
1891.pdf,2005-01-01,1891,1891.txt,US demographic trends in mid-arm circumference and recommended blood pressure cuffs: 1988-2002,10.1038/sj.jhh.1001905
1892.pdf,2005-01-01,1892,1892.txt,Relationship of monocyte count and peripheral arterial disease: Results from the National Health and Nutrition Examination Survey 1999-2002,10.1161/01.ATV.0000175296.02550.e4
1893.pdf,2005-01-01,1893,1893.txt,Smoking and Helicobacter pylori infection in a sample of U.S. adults,10.1097/01.ede.0000165365.52904.4a
1894.pdf,2005-01-01,1894,1894.txt,"Urinary mercury concentrations associated with dental restorations in adult women aged 16-49 years: United States, 1999-2000",10.1136/oem.2004.016832
1895.pdf,2005-01-01,1895,1895.txt,Lung function and glucose metabolism: An analysis of data from the Third National Health and Nutrition Examination Survey,10.1093/aje/kwi076
1896.pdf,2005-01-01,1896,1896.txt,Effects of weight status on the recommendations of and adherence to lifestyle modifications among hypertensive adults,10.1038/sj.jhh.1001828
1897.pdf,2005-01-01,1897,1897.txt,Importance of generational status in examining access to and utilization of health care services by Mexican American children,10.1542/peds.2004-1353
1898.pdf,2005-01-01,1898,1898.txt,beta-Cell function: A key pathological determinant in polycystic ovary syndrome,10.1210/jc.2004-1006
1899.pdf,2004-01-01,1899,1899.txt,"Prevalence and trends of a metabolic syndrome phenotype among u.s. Adolescents, 1999-2000",10.2337/diacare.27.10.2438
1900.pdf,2004-01-01,1900,1900.txt,"Dietary supplement use by US adults: Data from the National Health and Nutrition Examination Survey, 1999-2000",10.1093/aje/kwh207
1901.pdf,2004-01-01,1901,1901.txt,"Prevalence of and risk factors for peripheral arterial disease in the United States: Results from the National Health and Nutrition Examination Survey, 1999-2000",10.1161/01.CIR.0000137913.26087.F0
1902.pdf,2004-01-01,1902,1902.txt,"Lead, cadmium, smoking, and increased risk of peripheral arterial disease",10.1161/01.CIR.0000130848.18636.B2
1903.pdf,2000-01-01,1903,1903.txt,Health insurance coverage after welfare,10.1377/hlthaff.19.1.175
1904.pdf,2004-01-01,1904,1904.txt,High prevalence of peripheral arterial disease in persons with renal insufficiency: Results from the National Health and Nutrition Examination Survey 1999-2000,10.1161/01.CIR.0000114519.75433.DD
1905.pdf,2003-01-01,1905,1905.txt,"Toxoplasma gondii infection in the United States, 1999-2000",10.3201/eid0911.030098
1907.pdf,2011-01-01,1907,1907.txt,Association between sexually transmitted diseases and young adults' self-reported abstinence,10.1542/peds.2009-0892
1908.pdf,2011-01-01,1908,1908.txt,Criminal-justice and school sanctions against nonheterosexual youth: A national longitudinal study,10.1542/peds.2009-2306
1909.pdf,2011-01-01,1909,1909.txt,Young adult outcomes of children growing up with chronic illness: An analysis of the National Longitudinal Study of Adolescent Health,10.1001/archpediatrics.2010.287
1910.pdf,2010-01-01,1910,1910.txt,Religion and mental health among older adults: Do the effects of religious involvement vary by gender?,10.1093/geronb/gbp112
1911.pdf,2007-01-01,1911,1911.txt,The US gun stock: Results from the 2004 National Firearms Survey,10.1136/ip.2006.013607
1912.pdf,2009-01-01,1912,1912.txt,Frailty and mortality among Chinese at advanced ages,10.1093/geronb/gbn009
1913.pdf,2008-01-01,1913,1913.txt,Religious participation and mortality risk among the oldest old in China,10.1093/geronb/63.5.S293
1914.pdf,2008-01-01,1914,1914.txt,Early life influences on cognitive impairment among oldest old Chinese,10.1093/geronb/63.1.S25
1915.pdf,2011-01-01,1915,1915.txt,Transitions in marital status and functional health and patterns of intergenerational coresidence among China's elderly population,10.1093/geronb/gbq107
1917.pdf,2009-01-01,1917,1917.txt,Frailty and type of death among older adults in China: Prospective cohort study,10.1136/bmj.b1175
1918.pdf,2004-01-01,1918,1918.txt,Sociodemographic effects on the onset and recovery of ADL disability among Chinese oldest-old,10.4054/DemRes.2004.11.1
1919.pdf,2008-01-01,1919,1919.txt,"Air pollution, economic development of communities, and health status among the elderly in urban China",10.1093/aje/kwn260
1920.pdf,2009-01-01,1920,1920.txt,"Changes in activities of daily living (ADL) among elderly Chinese by marital status, living arrangement, and availability of healthcare over a 3-year period",10.1007/s12199-008-0072-7
1921.pdf,2010-01-01,1921,1921.txt,Changes in social participation and volunteer activity among recently widowed older adults,10.1093/geront/gnp103
1923.pdf,2005-01-01,1923,1923.txt,The relationships between depression and other outcomes of chronic illness caregiving,10.1186/1472-6955-4-3
1924.pdf,2011-01-01,1924,1924.txt,Epidemiology of menthol cigarette use in the United States,10.1186/1617-9625-9-S1-S1
1925.pdf,1999-01-01,1925,1925.txt,"Age, body mass index, and functional illness",10.1093/geronb/54B.6.S339
1926.pdf,2011-01-01,1926,1926.txt,Visual impairment and quality of life among older adults: An examination of explanations for the relationship,10.1093/geronb/gbr015
1927.pdf,2010-01-01,1927,1927.txt,"The role of social relationships in predicting loneliness: The National Social Life, Health, and Aging Project",10.1093/swr/34.3.157
1928.pdf,2011-01-01,1928,1928.txt,Risk factors for hearing impairment among U.S. adults with diabetes: National Health and Nutrition Examination Survey 1999-2004,10.2337/dc10-2161
1929.pdf,2009-01-01,1929,1929.txt,Improving mortality prediction using biosocial surveys,10.1093/aje/kwn389
1930.pdf,2009-01-01,1930,1930.txt,Physicians' views of the Massachusetts Health Care Reform Law--A poll,10.1056/NEJMp0909851
1931.pdf,2011-01-01,1931,1931.txt,"Volume, patterns, and types of sedentary behavior and cardio-metabolic health in children and adolescents: A cross-sectional study",10.1186/1471-2458-11-274
1932.pdf,2011-01-01,1932,1932.txt,Trends over 5 Decades in U.S. Occupation-Related Physical Activity and Their Associations with Obesity,10.1371/journal.pone.0019657
1933.pdf,2011-01-01,1933,1933.txt,Consumer segmentation based on the level and structure of fruit and vegetable intake: an empirical evidence for US adults from the National Health and Nutrition Examination Survey (NHANES) 2005-2006,10.1017/S1368980010003745
1934.pdf,2011-01-01,1934,1934.txt,"All-cause, liver-related, and non-liver-related mortality among HCV-infected individuals in the general US population",10.1093/cid/cir306
1936.pdf,2011-01-01,1936,1936.txt,"Vitamin D, parathyroid hormone, and blood pressure in the National Health and Nutrition Examination Surveys",10.1038/ajh.2011.73
1937.pdf,2008-01-01,1937,1937.txt,"Changes in perceived weight discrimination among Americans, 1995-1996 through 2004-2006",10.1038/oby.2008.35
1938.pdf,2009-01-01,1938,1938.txt,Psychosocial stress and change in weight among US adults,10.1093/aje/kwp104
1939.pdf,2008-01-01,1939,1939.txt,Sex differences in the heritability of resilience,10.1375/twin.11.1.12
1940.pdf,2010-01-01,1940,1940.txt,Psychosocial working conditions and active leisure-time physical activity in middle-aged US workers,10.2478/v10001-010-0029-0
1941.pdf,2009-01-01,1941,1941.txt,Within-family variability in representations of past relationships with parents,10.1093/geronb/gbn001
1942.pdf,2009-01-01,1942,1942.txt,Is altruistic behavior associated with major depression onset?,10.1371/journal.pone.0004557
1943.pdf,2009-01-01,1943,1943.txt,Is education causally related to better health? A twin fixed-effect study in the USA,10.1093/ije/dyp226
1944.pdf,2011-01-01,1944,1944.txt,Antecedent–consequent relations of perceived control to health and social support: Longitudinal evidence for between-domain associations across adulthood,10.1093/geronb/gbq077
1945.pdf,2009-01-01,1945,1945.txt,Felt obligation to help others as a protective factor against losses in psychological well-being following functional decline in middle and later life,10.1093/geronb/gbp074
1946.pdf,2004-01-01,1946,1946.txt,Formal volunteering as a protective factor for older adults' psychological well-being,10.1093/geronb/59.5.S258
1947.pdf,2007-01-01,1947,1947.txt,The psychological benefits of vigorous exercise: A study of discordant MZ twin pairs,10.1375/twin.10.2.275
1948.pdf,2007-01-01,1948,1948.txt,Age differences in reactivity to daily stressors: The role of personal control,10.1093/geronb/62.4.P216
1949.pdf,2010-01-01,1949,1949.txt,Frontiers in the use of biomarkers of health in research on stress and aging,10.1093/geronb/gbq049
1950.pdf,2010-01-01,1950,1950.txt,Psychosocial resources and associations between childhood physical abuse and adult well-being,10.1093/geronb/gbq031
1951.pdf,2009-01-01,1951,1951.txt,Remembered parenting styles and adjustment in middle and late adulthood,10.1093/geronb/gbn008
1952.pdf,2008-01-01,1952,1952.txt,Routine assistance to parents: Effects on daily mood and other stressors,10.1093/geronb/63.3.S154
1953.pdf,2010-01-01,1953,1953.txt,"Age identity, gender, and perceptions of decline: Does feeling older lead to pessimistic dispositions about cognitive aging?",10.1093/geronb/gbp046
1954.pdf,2010-01-01,1954,1954.txt,Early environment affects neuroendocrine regulation in adulthood,10.1093/scan/nsq037
1955.pdf,2005-01-01,1955,1955.txt,Age identity and subjective well-being: A comparison of the United States and Germany,10.1093/geronb/60.3.S129
1956.pdf,2011-01-01,1956,1956.txt,"Societal costs of prescription opioid abuse, dependence, and misuse in the United States",10.1111/j.1526-4637.2011.01075.x
1957.pdf,2010-01-01,1957,1957.txt,The decision to award punitive damages: An empirical study,10.1093/jla/2.2.577
1958.pdf,2011-01-01,1958,1958.txt,Cognitive functioning in midlife and old age: Combined effects of psychosocial and behavioral factors,10.1093/geronb/gbr017
1959.pdf,2012-01-01,1959,1959.txt,Personality trait level and change as predictors of health outcomes: Findings from a national study of Americans (MIDUS),10.1093/geronb/gbr072
1960.pdf,2010-01-01,1960,1960.txt,Independence and interdependence predict health and wellbeing: Divergent patterns in the United States and Japan,10.3389/fpsyg.2010.00163
1961.pdf,2011-01-01,1961,1961.txt,Associations between cognitive function and naturally occurring daily cortisol during middle adulthood: Timing is everything,10.1093/geronb/gbq094
1962.pdf,2011-01-01,1962,1962.txt,Referral and consultation communication between primary care and specialist physicians finding common ground,10.1001/archinternmed.2010.480
1963.pdf,2010-01-01,1963,1963.txt,An empirical investigation of factors Influencing career satisfaction of primary care physicians,10.3122/jabfm.2010.06.100075
1964.pdf,2011-01-01,1964,1964.txt,Raising low 'patient activation' rates among Hispanic immigrants may equal expanded coverage in reducing access disparities,10.1377/hlthaff.2009.0805
1966.pdf,2011-01-01,1966,1966.txt,Migration from Mexico to the United States and subsequent risk for depressive and anxiety disorders: A cross-national study,10.1001/archgenpsychiatry.2011.21
1969.pdf,2009-01-01,1969,1969.txt,Implementation fidelity: The experience of the Adolescent Substance Abuse Prevention Study,10.1093/her/cyn035
1970.pdf,2011-01-01,1970,1970.txt,"Systolic blood pressure, socioeconomic status, and biobehavioral risk factors in a nationally representative US young adult sample",10.1161/HYPERTENSIONAHA.111.171272
1971.pdf,2012-01-01,1971,1971.txt,Systolic blood pressure and adiposity: Examination by race and gender in a nationally representative sample of young adults,10.1038/ajh.2011.177
1972.pdf,2011-01-01,1972,1972.txt,Household income and cardiovascular disease risks in U.S. children and young adults: Analyses from NHANES 1999-2008,10.2337/dc11-0792
1973.pdf,2011-01-01,1973,1973.txt,Dietary supplement use is associated with higher intakes of minerals from food sources,10.3945/ajcn.111.020289
1974.pdf,2011-01-01,1974,1974.txt,Sedentary activity associated with metabolic syndrome independent of physical activity,10.2337/dc10-0987
1975.pdf,2011-01-01,1975,1975.txt,"Associations between sleep disorders, sleep duration, quality of sleep, and hypertension: Results from the National Health and Nutrition Examination Survey, 2005 to 2008",10.1111/j.1751-7176.2011.00500.x
1976.pdf,2011-01-01,1976,1976.txt,Urinary concentrations of dialkylphosphate metabolites of organophosphorus pesticides: National Health and Nutrition Examination Survey 1999-2004,10.3390/ijerph8083063
1977.pdf,2011-01-01,1977,1977.txt,Associations between respiratory illnesses and secondhand smoke exposure in flight attendants: A cross-sectional analysis of the Flight Attendant Medical Research Institute Survey,10.1186/1476-069X-10-81
1978.pdf,2011-01-01,1978,1978.txt,Living kidney donors ages 70 and older: Recipient and donor outcomes,10.2215/CJN.04160511
1979.pdf,2012-01-01,1979,1979.txt,Caffeine is protective in patients with non-alcoholic fatty liver disease,10.1111/j.1365-2036.2011.04916.x
1980.pdf,2011-01-01,1980,1980.txt,"Evidence for a peak shift in a humoral response to helminths: Age profiles of IgE in the Shuar of Ecuador, the Tsimane of Bolivia, and the U.S. NHANES",10.1371/journal.pntd.0001218
1981.pdf,2011-01-01,1981,1981.txt,Age-specific associations of reduced estimated glomerular filtration rate with concurrent chronic kidney disease complications,10.2215/CJN.06770711
1982.pdf,2011-01-01,1982,1982.txt,"Comparison of serum cotinine concentration within and across smokers of menthol and nonmenthol cigarette brands among non-Hispanic black and non-Hispanic white U.S. adult smokers, 2001-2006",10.1158/1055-9965.EPI-10-1330
1983.pdf,2011-01-01,1983,1983.txt,Influence of familial risk on diabetes risk-reducing behaviors among U.S. adults without diabetes,10.2337/dc11-0876
1984.pdf,2010-01-01,1984,1984.txt,High total bilirubin as a protective factor for diabetes mellitus: An analysis of NHANES data from 1999 - 2006,10.4021/jocmr425w
1985.pdf,2012-01-01,1985,1985.txt,Occupational noise exposure assessment using O*NET and its application to a study of hearing loss in the US general population,10.1136/oem.2011.064758
1986.pdf,2011-01-01,1986,1986.txt,Trends in meat consumption in the USA,10.1017/S1368980010002077
1987.pdf,2011-01-01,1987,1987.txt,Obesity and related health behaviors among urban and rural children in the United States: data from the National Health And Nutrition Examination Survey 2003-2004 and 2005-2006,10.1093/jpepsy/jsq117
1988.pdf,2011-01-01,1988,1988.txt,Temporal trends in the prevalence of diabetic kidney disease in the United States,10.1001/jama.2011.861
1989.pdf,2011-01-01,1989,1989.txt,Diagnosis of the metabolic syndrome is associated with disproportionately high levels of high-sensitivity C-reactive protein in non-Hispanic black adolescents: An analysis of NHANES 1999-2008,10.2337/dc10-1877
1991.pdf,2011-01-01,1991,1991.txt,Adiposity is not equal in a multi-race/ethnic adolescent population: NHANES 1999-2004,10.1038/oby.2011.52
1992.pdf,2011-01-01,1992,1992.txt,Evidence for age as a modifier of genetic associations for lipid levels,10.1111/j.1469-1809.2011.00664.x
1993.pdf,2011-01-01,1993,1993.txt,Variation in LPA is associated with Lp(a) levels in three populations from the Third National Health and Nutrition Examination Survey,10.1371/journal.pone.0016604
1994.pdf,2011-01-01,1994,1994.txt,Direct measurement of perchlorate exposure biomarkers in a highly exposed population: a pilot study,10.1371/journal.pone.0017015
